,,naturalidade,naturalidade,naturalidade,clareza,clareza,clareza,compreensao,compreensao,compreensao
,,mean,std,count,mean,std,count,mean,std,count
participant_id,text_authorship,,,,,,,,,
etf2b33s,AI,3.5,0.7071067811865476,2,3.0,1.4142135623730951,2,2.0,1.4142135623730951,2
etf2b33s,human,3.0,1.4142135623730951,2,4.5,0.7071067811865476,2,6.0,0.0,2
