participant_id,text_id,text_authorship,reading_time
etf2b33s,ai_description_1,AI,26347.0
etf2b33s,ai_news_1,AI,22684.0
etf2b33s,human_news_1,human,22413.0
etf2b33s,human_opinion_1,human,20237.0
